epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,790.355,0.98044,1.6807,1.46554,0.93468,0.89222,0.9541,0.57999,1.31304,1.36865,1.7699,0.000663566,0.000663566,0.000663566
2,1620.13,0.94812,0.80586,1.41321,0.91926,0.88623,0.95484,0.6628,1.01368,0.84132,1.39584,0.00119854,0.00119854,0.00119854
3,2447.21,0.9206,0.57872,1.3927,0.86972,0.89945,0.94886,0.64341,1.13583,0.77105,1.49034,0.00160151,0.00160151,0.00160151
4,3272.89,0.88788,0.49797,1.34799,0.96586,0.97006,0.98819,0.74256,0.91805,0.52241,1.2941,0.001406,0.001406,0.001406
5,4109.7,0.82544,0.43546,1.30035,0.98204,0.98235,0.99234,0.77407,0.82442,0.43587,1.2418,0.001208,0.001208,0.001208
6,4939.18,0.80061,0.40516,1.2746,0.9785,0.97904,0.99178,0.78738,0.80936,0.4422,1.21933,0.00101,0.00101,0.00101
7,5771.62,0.7344,0.37126,1.22931,1,0.98381,0.99313,0.81498,0.7225,0.35198,1.17534,0.000812,0.000812,0.000812
8,6604.41,0.70202,0.34127,1.19528,0.99913,0.99102,0.995,0.82973,0.68354,0.3354,1.1346,0.000614,0.000614,0.000614
9,7444.39,0.67527,0.32067,1.18014,0.99374,0.99102,0.99494,0.85097,0.6406,0.31281,1.10389,0.000416,0.000416,0.000416
10,8277.61,0.64758,0.30287,1.1557,0.99868,0.99102,0.995,0.8509,0.62525,0.29532,1.09022,0.000218,0.000218,0.000218
